Site,56  Fe,Ni,63  Cu,66  Zn,75  As,111  Cd,208  Pb,238  U
A,22287.9309,23.90334592,37.68917679,117.4567173,7.653028294,0.318268222,88.6308806,1.009393003
B,32005.58934,31.62132922,29.27260904,135.9198809,9.935890405,0.451298505,83.416447,0.962067655
C,31700.55205,29.9908138,21.21977651,93.9994308,6.221780938,0.120903989,42.44646379,1.03658748
D,30865.11366,25.63885705,20.29408641,108.8672875,31.95213926,0.284471331,119.7340131,1.44377523
E,24598.03063,18.32039879,15.11015505,73.22018463,6.100874002,0.156189528,20.36764817,1.333213224
F,34592.16681,20.06489415,18.43558181,92.73691587,28.26649739,0.164688311,101.2154963,1.041073403
G,32434.97527,28.11456712,52.57664406,243.2019159,15.51603423,0.7651774,201.523208,1.510021884
H,37066.32126,21.77066658,30.27172859,130.7472411,29.70591649,0.391764306,57.78342313,0.893068772
I,27663.67775,20.53445299,14.81300728,113.8821728,4.519963958,0.151899151,49.16098079,0.816135356
J,27797.04653,24.76949688,23.12427533,118.4840644,8.589352211,0.368284827,61.42029519,1.165163493
